Country,Province,District,Rural/Urban,Date,Reporting Category,Cases,Disclaimer
Zambia,Southern,Chikankata,Rural,01/07/2017,Community Health Worker,20,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2017,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2017,Community Health Worker,12,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2017,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2017,Community Health Worker,9,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2017,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2017,Community Health Worker,19,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2017,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2017,Community Health Worker,25,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2017,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2017,Community Health Worker,59,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2018,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2018,Community Health Worker,106,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2018,Health Facility,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2018,Community Health Worker,51,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2014,Health Facility,577,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2014,Health Facility,527,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2014,Health Facility,655,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2014,Health Facility,754,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2014,Health Facility,478,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2014,Health Facility,203,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2014,Health Facility,78,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2014,Health Facility,60,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2014,Health Facility,107,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2014,Health Facility,119,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2014,Health Facility,103,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2014,Health Facility,168,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2014,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2015,Health Facility,343,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2015,Health Facility,319,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2015,Health Facility,390,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2015,Health Facility,274,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2015,Health Facility,215,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2015,Health Facility,94,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2015,Health Facility,66,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2015,Health Facility,59,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2015,Health Facility,104,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2015,Health Facility,96,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2015,Health Facility,79,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2015,Health Facility,106,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2015,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2016,Health Facility,125,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2016,Health Facility,186,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2016,Health Facility,232,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2016,Health Facility,291,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2016,Health Facility,296,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2016,Health Facility,73,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2016,Health Facility,40,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2016,Health Facility,20,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2016,Health Facility,36,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2016,Health Facility,40,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2016,Health Facility,20,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2016,Health Facility,144,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/12/2016,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2017,Health Facility,252,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/01/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2017,Health Facility,147,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/02/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2017,Health Facility,144,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/03/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2017,Health Facility,209,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/04/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2017,Health Facility,240,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/05/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2017,Health Facility,82,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/06/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2017,Health Facility,54,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/07/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2017,Health Facility,20,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/08/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2017,Health Facility,26,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/09/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2017,Health Facility,95,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/10/2017,Community Health Worker,0,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
Zambia,Southern,Chikankata,Rural,01/11/2017,Health Facility,94,Simulated data from http://visualizenomalaria.org. Contact jdrummey@path.org for data questions.
